Date,Time,psi,temperature,altitude,CO2level,relativeHumidity,scdTemperature,bmp_temperature,bmp_pressure,bmp_altitude,duration,uSvh,uSvhError,cpm
2024-04-01,09:16:57.551783,295.69,18.5,-34133.05,17100.45,90.36,20.7,25.18,102028.51,-0.06,0.0,0.0,0,0
2024-04-01,09:17:01.644734,295.69,18.5,-34133.1,17102.91,90.35,20.7,25.18,102038.31,-0.06,4.19,0.0,0.0,0.0
2024-04-01,09:17:05.737028,295.68,18.5,-34132.47,17109.89,90.35,20.7,25.21,102072.94,-0.06,8.21,0.0,0.0,0.0
2024-04-01,09:17:09.842701,295.7,18.51,-34133.15,17107.44,90.37,20.69,25.23,102037.93,-0.06,12.38,0.0,0.0,0.0
2024-04-01,09:17:13.930773,295.69,18.51,-34132.91,17106.42,90.35,20.7,25.25,102026.8,-0.06,16.39,0.0,0.0,0.0
2024-04-01,09:17:18.040495,295.69,18.51,-34132.99,17111.22,90.34,20.72,25.27,102028.65,-0.05,20.57,0.0,0.0,0.0
2024-04-01,09:17:22.149704,295.7,18.52,-34133.48,17116.12,90.35,20.7,25.28,102029.56,-0.06,24.58,0.05,0.05,2.44
2024-04-01,09:17:26.241482,295.69,18.52,-34132.92,17124.26,90.39,20.7,25.3,102032.89,-0.06,28.75,0.08,0.06,4.17
2024-04-01,09:17:30.333314,295.7,18.52,-34133.35,17129.02,90.38,20.72,25.31,102034.18,-0.06,32.75,0.07,0.05,3.66
2024-04-01,09:17:34.425163,295.7,18.53,-34133.22,17130.44,90.32,20.69,25.32,102033.07,-0.06,36.92,0.06,0.04,3.25
2024-04-01,09:17:38.517415,295.71,18.53,-34133.99,17135.81,90.35,20.7,25.32,102026.02,-0.06,40.94,0.06,0.04,2.93
2024-04-01,09:17:42.626853,295.7,18.54,-34133.55,17137.66,90.37,20.7,25.34,102030.65,-0.06,45.1,0.05,0.04,2.66
2024-04-01,09:17:46.718391,295.7,18.54,-34133.6,17142.72,90.37,20.73,25.33,102031.95,-0.06,49.28,0.05,0.03,2.44
