Date,Time,psi,temperature,altitude,CO2level,relativeHumidity,scdTemperature,bmp_temperature,bmp_pressure,bmp_altitude,duration,uSvh,uSvhError,cpm
2024-04-01,14:52:49.420461,295.33,24.47,-34114.78,null,null,null,34.52,101465.31,-0.01,903.44,0.03,0.01,1.46
2024-04-01,14:52:53.505008,295.33,24.48,-34114.77,null,null,null,34.52,101457.9,-0.01,907.61,0.03,0.01,1.45
2024-04-01,14:52:57.585885,295.32,24.48,-34114.34,null,null,null,34.54,101458.35,-0.01,911.62,0.03,0.01,1.45
2024-04-01,14:53:01.685412,295.31,24.49,-34113.85,null,null,null,34.55,101458.19,-0.01,915.79,0.03,0.01,1.44
2024-04-01,14:53:05.770148,295.35,24.5,-34115.85,null,null,null,34.31,101476.02,-0.01,919.8,0.03,0.01,1.44
2024-04-01,14:53:09.867617,295.36,24.5,-34116.37,null,null,null,34.56,101479.35,-0.01,923.98,0.03,0.01,1.43
2024-04-01,14:53:13.952429,295.4,24.51,-34118.34,null,null,null,34.58,101507.91,-0.01,927.99,0.03,0.01,1.42
2024-04-01,14:53:18.051377,295.38,24.51,-34117.43,null,null,null,34.56,101499.3,-0.01,932.16,0.03,0.01,1.42
2024-04-01,14:53:22.150048,295.38,24.52,-34117.12,null,null,null,34.54,101496.13,-0.01,936.17,0.03,0.01,1.47
2024-04-01,14:53:26.235088,295.39,24.53,-34117.99,null,null,null,34.57,101482.21,-0.01,940.34,0.03,0.01,1.47
2024-04-01,14:53:30.333709,295.36,24.53,-34116.32,null,null,null,34.53,101443.73,-0.01,944.36,0.03,0.01,1.46
2024-04-01,14:53:34.418412,295.34,24.53,-34115.05,null,null,null,34.52,101450.5,-0.01,948.52,0.03,0.01,1.45
2024-04-01,14:53:38.517269,295.33,24.53,-34114.59,null,null,null,34.53,101421.53,-0.01,952.54,0.03,0.01,1.45
2024-04-01,14:53:42.616011,295.29,24.54,-34112.57,null,null,null,34.53,101453.67,-0.01,956.71,0.03,0.01,1.44
2024-04-01,14:53:46.700697,295.3,24.54,-34113.03,null,null,null,34.52,101448.99,-0.01,960.72,0.03,0.01,1.62
2024-04-01,14:53:50.799322,295.29,24.54,-34112.82,null,null,null,34.51,101392.26,-0.0,964.89,0.03,0.01,1.62
2024-04-01,14:53:54.884347,295.29,24.55,-34112.78,null,null,null,34.51,101439.62,-0.01,968.9,0.03,0.01,1.61
2024-04-01,14:53:58.983269,295.28,24.55,-34112.18,null,null,null,34.52,101437.04,-0.01,973.08,0.03,0.01,1.6
2024-04-01,14:54:03.076070,295.29,24.55,-34112.46,null,null,null,34.52,101433.43,-0.01,977.08,0.03,0.01,1.6
2024-04-01,14:54:07.156982,295.28,24.55,-34111.95,null,null,null,34.51,101441.43,-0.01,981.25,0.03,0.01,1.59
2024-04-01,14:54:11.255682,295.29,24.56,-34112.63,null,null,null,34.52,101437.96,-0.01,985.27,0.03,0.01,1.58
2024-04-01,14:54:15.340329,295.29,24.57,-34112.79,null,null,null,34.51,101441.29,-0.01,989.44,0.03,0.01,1.58
2024-04-01,14:54:19.439056,295.29,24.57,-34112.69,null,null,null,34.5,101444.31,-0.01,993.45,0.03,0.01,1.63
2024-04-01,14:54:23.537614,295.3,24.57,-34113.22,null,null,null,34.51,101447.48,-0.01,997.62,0.03,0.01,1.62
2024-04-01,14:54:27.620247,295.31,24.57,-34113.93,null,null,null,34.5,101445.82,-0.01,1001.63,0.03,0.01,1.62
2024-04-01,14:54:31.719021,295.31,24.58,-34113.55,null,null,null,34.51,101447.48,-0.01,1005.8,0.03,0.01,1.67
2024-04-01,14:54:35.803667,295.32,24.58,-34114.25,null,null,null,34.52,101453.22,-0.01,1009.81,0.03,0.01,1.66
2024-04-01,14:54:39.897843,295.31,24.58,-34113.85,null,null,null,34.51,101448.54,-0.01,1013.99,0.03,0.01,1.66
2024-04-01,14:54:43.996496,295.32,24.59,-34114.02,null,null,null,34.5,101420.13,-0.01,1018.0,0.03,0.01,1.65
2024-04-01,14:54:48.081160,295.31,24.59,-34113.75,null,null,null,34.5,101444.62,-0.01,1022.17,0.03,0.01,1.64
2024-04-01,14:54:52.179904,295.32,24.6,-34114.28,null,null,null,34.45,101454.62,-0.01,1026.18,0.03,0.01,1.7
2024-04-01,14:54:56.263100,295.32,24.6,-34114.11,null,null,null,34.18,101442.41,-0.01,1030.35,0.03,0.01,1.69
2024-04-01,14:55:00.355100,295.33,24.6,-34114.51,null,null,null,34.39,101445.28,-0.01,1034.36,0.03,0.01,1.74
2024-04-01,14:55:04.453747,295.31,24.6,-34113.73,null,null,null,34.37,101440.3,-0.01,1038.53,0.03,0.01,1.73
